Date,EnergyConsumption
03/04/2018, 3.338 
04/04/2018, 3.383 
05/04/2018, 3.402 
06/04/2018, 3.347 
07/04/2018, 3.242 
08/04/2018, 2.999 
09/04/2018, 3.332 
10/04/2018, 3.380 
11/04/2018, 3.439 
12/04/2018, 3.464 
13/04/2018, 3.436 
14/04/2018, 3.089 
15/04/2018, 3.034 
16/04/2018, 3.386 
17/04/2018, 3.439 
18/04/2018, 3.411 
19/04/2018, 3.397 
20/04/2018, 3.389 
21/04/2018, 3.215 
22/04/2018, 3.015 
23/04/2018, 3.313 
24/04/2018, 3.374 
25/04/2018, 3.396 
26/04/2018, 3.384 
27/04/2018, 3.386 
28/04/2018, 3.281 
29/04/2018, 3.050 
30/04/2018, 3.277 
01/05/2018, 2.919 
02/05/2018, 3.279 
03/05/2018, 3.355 
04/05/2018, 3.373 
05/05/2018, 3.269 
06/05/2018, 3.063 
07/05/2018, 3.403 
08/05/2018, 3.458 
09/05/2018, 3.421 
10/05/2018, 3.137 
11/05/2018, 3.361 
12/05/2018, 3.275 
13/05/2018, 3.070 
14/05/2018, 3.418 
15/05/2018, 3.453 
16/05/2018, 3.446 
17/05/2018, 3.420 
18/05/2018, 3.430 
19/05/2018, 3.318 
20/05/2018, 3.123 
21/05/2018, 3.439 
22/05/2018, 3.470 
23/05/2018, 3.484 
24/05/2018, 3.454 
25/05/2018, 3.453 
26/05/2018, 3.346 
27/05/2018, 3.139 
28/05/2018, 3.376 
29/05/2018, 3.210 
30/05/2018, 3.396 
31/05/2018, 3.277 
01/06/2018, 3.052 
02/06/2018, 3.176 
03/06/2018, 3.069 
04/06/2018, 3.406 
05/06/2018, 3.479 
06/06/2018, 3.457 
07/06/2018, 3.439 
08/06/2018, 3.427 
09/06/2018, 3.303 
10/06/2018, 3.110 
11/06/2018, 3.186 
12/06/2018, 3.115 
13/06/2018, 2.814 
14/06/2018, 2.544 
15/06/2018, 2.331 
16/06/2018, 2.334 
17/06/2018, 2.368 
18/06/2018, 2.433 
19/06/2018, 2.567 
20/06/2018, 2.747 
21/06/2018, 2.967 
22/06/2018, 3.067 
23/06/2018, 3.047 
24/06/2018, 2.905 
25/06/2018, 3.237 
26/06/2018, 3.267 
27/06/2018, 2.874 
28/06/2018, 3.235 
29/06/2018, 3.308 
30/06/2018, 3.214 
01/07/2018, 2.998 
02/07/2018, 3.325 
03/07/2018, 3.357 
04/07/2018, 3.353 
05/07/2018, 3.274 
06/07/2018, 3.236 
07/07/2018, 3.160 
08/07/2018, 2.958 
09/07/2018, 3.272 
10/07/2018, 3.322 
11/07/2018, 3.310 
12/07/2018, 3.287 
13/07/2018, 3.263 
14/07/2018, 3.190 
15/07/2018, 2.936 
16/07/2018, 3.193 
17/07/2018, 3.279 
18/07/2018, 3.341 
19/07/2018, 3.327 
20/07/2018, 3.355 
21/07/2018, 3.251 
22/07/2018, 3.030 
23/07/2018, 3.324 
24/07/2018, 3.367 
25/07/2018, 3.309 
26/07/2018, 3.268 
27/07/2018, 3.216 
28/07/2018, 3.149 
29/07/2018, 2.965 
30/07/2018, 3.273 
31/07/2018, 3.350 
01/08/2018, 3.348 
02/08/2018, 3.277 
03/08/2018, 3.166 
04/08/2018, 3.069 
05/08/2018, 2.872 
06/08/2018, 3.163 
07/08/2018, 3.205 
08/08/2018, 3.275 
09/08/2018, 3.324 
10/08/2018, 3.308 
11/08/2018, 3.213 
12/08/2018, 2.985 
13/08/2018, 3.277 
14/08/2018, 3.325 
15/08/2018, 3.329 
16/08/2018, 3.234 
17/08/2018, 2.715 
18/08/2018, 2.972 
19/08/2018, 2.954 
20/08/2018, 3.284 
21/08/2018, 3.333 
22/08/2018, 2.811 
23/08/2018, 3.309 
24/08/2018, 3.368 
25/08/2018, 3.228 
26/08/2018, 3.035 
27/08/2018, 3.355 
28/08/2018, 3.457 
29/08/2018, 3.422 
30/08/2018, 3.390 
31/08/2018, 3.406 
01/09/2018, 3.261 
02/09/2018, 3.051 
03/09/2018, 3.321 
04/09/2018, 3.347 
05/09/2018, 3.185 
06/09/2018, 3.345 
07/09/2018, 3.357 
08/09/2018, 3.310 
09/09/2018, 3.121 
10/09/2018, 3.338 
11/09/2018, 3.059 
12/09/2018, 3.387 
13/09/2018, 3.415 
14/09/2018, 3.374 
15/09/2018, 3.243 
16/09/2018, 3.037 
17/09/2018, 3.385 
18/09/2018, 3.393 
19/09/2018, 3.458 
20/09/2018, 3.426 
21/09/2018, 3.435 
22/09/2018, 3.360 
23/09/2018, 3.161 
24/09/2018, 3.476 
25/09/2018, 3.542 
26/09/2018, 3.534 
27/09/2018, 3.521 
28/09/2018, 3.466 
29/09/2018, 3.373 
30/09/2018, 3.192 
01/10/2018, 3.522 
02/10/2018, 3.585 
03/10/2018, 3.588 
04/10/2018, 3.540 
05/10/2018, 3.636 
06/10/2018, 3.390 
